run_id,relative_path,batch,scenario,title,session,run_index,end_reason,normally_completed,exclusion_reason,t_start,t_end,stored_execution_time,theoretical_time,start_pose_predefined,start_pose_used,goal_pose,n_reference_samples,n_measured_samples_total,n_command_samples_total,n_measured_samples_execution,n_command_samples_compared,n_pose_samples_after_reference_end,final_sample_time_offset,final_position_error,final_heading_abs_error,execution_time,execution_time_increase,execution_time_increase_percent,position_error_median,position_error_rms,position_error_p95,position_error_max,position_error_mean,heading_abs_error_median,heading_abs_error_rms,heading_abs_error_p95,heading_abs_error_max,heading_abs_error_mean,path_error_median,path_error_rms,path_error_p95,path_error_max,reference_command_v_rms_difference,reference_command_omega_rms_difference
s10sept_run001,01_right_angle_turn/input_01_original/s10sept_run001.json,01_right_angle_turn/input_01_original,1,Experiment 1 - Right-Angle Turn,s10sept,1,goal_reached,True,,1789049412.4442098,1789049424.7457404,12.301530599594116,11.74162205146606,"[-0.15, -0.35, -2.356194490192345]","[-0.1542645939597369, -0.3577293929118328, -2.3621936208612686]","[2.1, 3.1, -0.5235987755982988]",119,1613,125,616,118,29,0.0,0.001889500571670691,0.09888267258936034,12.301530599594116,0.5599085481280568,4.768579210554189,0.05798278161941693,0.06386157801910938,0.1308728950798877,0.15786335587888456,0.05614300061255399,0.03670495067656576,0.1722459556999575,0.4710083667237983,0.6263601106207064,0.10273272040977331,0.010077851728156964,0.020026091163702252,0.053104065123750994,0.07013628121343189,0.07883927136087863,0.45686774176469774
s10sept_run002,01_right_angle_turn/input_01_original/s10sept_run002.json,01_right_angle_turn/input_01_original,1,Experiment 1 - Right-Angle Turn,s10sept,2,goal_reached,True,,1789049444.643362,1789049456.9658492,12.322487115859985,11.76226867014984,"[-0.15, -0.35, -2.356194490192345]","[-0.12664602618242204, -0.3597232481939132, -2.51125459273012]","[2.1, 3.1, -0.5235987755982988]",119,619,124,617,118,29,0.0,0.007436532460775998,0.09670360752033114,12.322487115859985,0.5602184457101451,4.762843473656247,0.05747518707226828,0.057632669937641635,0.10016335570940822,0.1195577465397189,0.0520598037865912,0.03377928653945528,0.17017375866033066,0.46638775430456947,0.6006902044010332,0.10032782968968171,0.010723762939190943,0.017080969614742286,0.042206550758566025,0.053012937121988575,0.08178500597180946,0.47548742745306527
s10sept_run003,01_right_angle_turn/input_01_original/s10sept_run003.json,01_right_angle_turn/input_01_original,1,Experiment 1 - Right-Angle Turn,s10sept,3,goal_reached,True,,1789049476.04334,1789049488.2858407,12.24250078201294,11.693482811973336,"[-0.15, -0.35, -2.356194490192345]","[-0.13317116705685317, -0.3457953617825549, -2.3566977454600626]","[2.1, 3.1, -0.5235987755982988]",118,619,123,613,117,28,0.0,0.0076031040569279,0.09813577115433159,12.24250078201294,0.5490179700396034,4.695076555613064,0.05731629846981159,0.06214207782249828,0.12448175525822884,0.14357368033104545,0.05504302726422694,0.0339027709653017,0.1652174211645599,0.44880206925054,0.5934277508005286,0.09858319042623458,0.011738126017115632,0.020656927745696146,0.05419529408147325,0.06879901865531547,0.07933453147669575,0.45538844068181294
s10sept_run004,01_right_angle_turn/input_01_original/s10sept_run004.json,01_right_angle_turn/input_01_original,1,Experiment 1 - Right-Angle Turn,s10sept,4,goal_reached,True,,1789049504.845373,1789049517.1673927,12.322019815444946,11.730204531393756,"[-0.15, -0.35, -2.356194490192345]","[-0.14710994404469924, -0.35146029827076264, -2.3715567632539374]","[2.1, 3.1, -0.5235987755982988]",119,623,124,618,118,30,0.0,0.008248889678136513,0.09751239302158465,12.322019815444946,0.5918152840511901,5.045225617910619,0.05818657756394566,0.06276176745225773,0.12326379755759773,0.15038576683469887,0.055476247089352185,0.036128891337269486,0.1718611857935955,0.46592743864774794,0.6289282434407353,0.10186081222402782,0.010260051430731297,0.020200501066828545,0.05196428144861608,0.07048479706425324,0.07783731665732137,0.44486389800545545
s10sept_run005,01_right_angle_turn/input_01_original/s10sept_run005.json,01_right_angle_turn/input_01_original,1,Experiment 1 - Right-Angle Turn,s10sept,5,goal_reached,True,,1789049532.7435627,1789049544.9860451,12.242482423782349,11.742059655988946,"[-0.15, -0.35, -2.356194490192345]","[-0.14895110330806727, -0.35757300904193556, -2.3841530347072117]","[2.1, 3.1, -0.5235987755982988]",119,616,123,614,118,26,0.0,0.011222247257009493,0.09957492471127205,12.242482423782349,0.5004227677934026,4.261797184262863,0.058154050365857475,0.06655412688970601,0.13821982180200001,0.16510649200512562,0.057468702073251283,0.03426245212088963,0.1835287500364979,0.5128863055447394,0.6509720636889593,0.10482749033207583,0.011322646132796854,0.021913920135692197,0.05628930510563939,0.0725508179350083,0.0767759020215975,0.4651514319895138
s10sept_run006,01_right_angle_turn/input_01_original/s10sept_run006.json,01_right_angle_turn/input_01_original,1,Experiment 1 - Right-Angle Turn,s10sept,6,goal_reached,True,,1789049559.0441594,1789049571.3053706,12.261211156845093,11.729871669393233,"[-0.15, -0.35, -2.356194490192345]","[-0.14419719729693825, -0.349128929620083, -2.383845327800352]","[2.1, 3.1, -0.5235987755982988]",119,620,123,614,118,27,0.0,0.012456352496848844,0.09966296104281103,12.261211156845093,0.5313394874518593,4.52979795881556,0.05763167523355224,0.0633286907692321,0.12871733887725156,0.1854175665149459,0.05582994592501406,0.03220942382642056,0.17804820711586208,0.487132655561251,0.6437535356521273,0.10387750361469877,0.011697993807694759,0.018682093722382588,0.04657331509039082,0.05733992062045439,0.07842838159648625,0.4493472540083641
s10sept_run007,01_right_angle_turn/input_01_original/s10sept_run007.json,01_right_angle_turn/input_01_original,1,Experiment 1 - Right-Angle Turn,s10sept,7,goal_reached,True,,1789049584.744027,1789049597.0863402,12.342313289642334,11.747826793929597,"[-0.15, -0.35, -2.356194490192345]","[-0.14803314145969027, -0.3580991387207981, -2.3989778680818703]","[2.1, 3.1, -0.5235987755982988]",119,621,124,618,118,30,0.0,0.008980513101862635,0.09973975964170245,12.342313289642334,0.5944864957127365,5.060395476888737,0.05815420985590568,0.0616434068106355,0.12265755567297185,0.14141908256716323,0.05486417237620486,0.03471936691272948,0.16712103292456645,0.4412264088031571,0.5906005378382622,0.10010914385320381,0.01053457608469616,0.01996698447171124,0.0530000948324793,0.06543584835235625,0.08440415875683412,0.47662880678816655
s10sept_run008,01_right_angle_turn/input_01_original/s10sept_run008.json,01_right_angle_turn/input_01_original,1,Experiment 1 - Right-Angle Turn,s10sept,8,goal_reached,True,,1789049608.6433842,1789049620.9455686,12.302184343338013,11.746453192645571,"[-0.15, -0.35, -2.356194490192345]","[-0.14676774297712947, -0.35035653395545063, -2.406090950511654]","[2.1, 3.1, -0.5235987755982988]",119,620,123,618,118,32,0.0,0.008773106248878513,0.09742994914446479,12.302184343338013,0.5557311506924414,4.731054911455174,0.057517633995803966,0.06366479547765722,0.1281675008215631,0.1959846287188421,0.0559880063155932,0.04673658809422676,0.1831413061992476,0.4913623210076108,0.634829629335206,0.1100827768185962,0.011481634343952992,0.01994033151016308,0.05222571948167781,0.06764471106910488,0.08603351756372234,0.5031919254347329
s10sept_run009,01_right_angle_turn/input_01_original/s10sept_run009.json,01_right_angle_turn/input_01_original,1,Experiment 1 - Right-Angle Turn,s10sept,9,goal_reached,True,,1789049636.7431896,1789049649.0256457,12.282456159591675,11.724096290456426,"[-0.15, -0.35, -2.356194490192345]","[-0.14302139470254382, -0.359927644960075, -2.3701357915139183]","[2.1, 3.1, -0.5235987755982988]",119,621,123,615,118,28,0.0,0.011874440670293243,0.09993672815736732,12.282456159591675,0.5583598691352485,4.762498151689193,0.05776379284906784,0.06350758784965196,0.1298100571726194,0.15014119538931534,0.055956760869046385,0.033642104565206665,0.17302235746700004,0.4685386556723094,0.6099097082542393,0.1014893906462963,0.011083787484779378,0.02063151878762323,0.0549223778352498,0.0697153470310694,0.07884001450900102,0.45303030562883595
s10sept_run010,01_right_angle_turn/input_01_original/s10sept_run010.json,01_right_angle_turn/input_01_original,1,Experiment 1 - Right-Angle Turn,s10sept,10,goal_reached,True,,1789049663.445057,1789049675.7053752,12.260318279266357,11.718712822807522,"[-0.15, -0.35, -2.356194490192345]","[-0.14487407370628924, -0.3504861489037374, -2.358013185897197]","[2.1, 3.1, -0.5235987755982988]",119,618,123,614,118,28,0.0,0.010540819857680178,0.09884778894375623,12.260318279266357,0.5416054564588357,4.6217145572911145,0.059200339936970076,0.06383508841937155,0.12182370927255462,0.14627651081288032,0.05677568333547387,0.032297447723363515,0.16737436838740657,0.44067804848182424,0.7635966350494332,0.09757848626853964,0.011073026169401578,0.01938376771906221,0.04905025159573977,0.06556279319369332,0.08128425052469727,0.4534663872095703
labsept10_run003,02_right_angle_overlapping_circles/input_01_original/labsept10_run003.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),labsept10,3,timeout,False,end_reason=timeout,1789045552.3857286,,20.51990532875061,3.5113942187396794,"[1.33, -0.34, 2.356194490192345]","[1.3419245076096789, -0.3439829369842822, 2.315814966862796]","[1.76, 0.22, -0.5235987755982988]",37,1028,67,,,,,,,,,,,,,,,,,,,,,,,,,
s10sept_run011,02_right_angle_overlapping_circles/input_01_original/s10sept_run011.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10sept,11,goal_reached,True,,1789050261.446323,1789050265.6259856,4.179662704467773,3.584714637584863,"[1.33, -0.34, 2.356194490192345]","[1.3378974735778881, -0.34401175353897706, 2.452937157800314]","[1.76, 0.22, -0.5235987755982988]",37,211,42,209,36,30,0.0,0.04982826108976258,0.09802684384574656,4.179662704467773,0.5949480668829104,16.59680412619248,0.054933079930181754,0.05400968282916343,0.09019746454643282,0.09589527631637182,0.047919419282967154,0.37564917187351865,0.3789544188639954,0.5731792060080225,0.5987695178070331,0.34433933542809636,0.05235592556084113,0.049762907599762575,0.08627145206556913,0.09448454551228325,0.10934451476924031,0.7487641481247993
s10sept_run012,02_right_angle_overlapping_circles/input_01_original/s10sept_run012.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10sept,12,goal_reached,True,,1789050306.1447186,1789050310.4256592,4.280940532684326,3.512937778126482,"[1.33, -0.34, 2.356194490192345]","[1.3394989715744876, -0.3428224119675547, 2.3024456626389105]","[1.76, 0.22, -0.5235987755982988]",37,216,43,216,36,39,0.0,0.04985842674262947,0.0748146144028996,4.280940532684326,0.7680027545578443,21.862122333616597,0.05702103487628936,0.05520575166939689,0.08906251068976791,0.09700175910263466,0.04889814326678053,0.34090687742600045,0.3975429126463074,0.6388455793834036,0.7762250336606078,0.35451198662986955,0.054924665061012956,0.05161559962042636,0.08552948028906412,0.0963429442909657,0.11159866283978188,0.7356959871716915
s10sept_run013,02_right_angle_overlapping_circles/input_01_original/s10sept_run013.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10sept,13,goal_reached,True,,1789050328.544465,1789050333.865841,5.321375846862793,3.5514588617356493,"[1.33, -0.34, 2.356194490192345]","[1.333186418885757, -0.35119316030078807, 2.434815742195862]","[1.76, 0.22, -0.5235987755982988]",37,269,54,269,36,89,0.0,0.04983573639809208,0.024571524528007593,5.321375846862793,1.7699169851271437,49.83633639112913,0.05762174147257695,0.05784439130400039,0.08568438612469556,0.09581048157135533,0.05232280956349672,0.30813775382172937,0.3549629887180256,0.6144674412511331,0.6444289054807597,0.2897155844566748,0.05611929312038488,0.05498235725206387,0.0822765563825378,0.09462446820344082,0.122868347875624,0.7460814218269393
s10sept_run014,02_right_angle_overlapping_circles/input_01_original/s10sept_run014.json,02_right_angle_overlapping_circles/input_01_original,2,Experiment 2 - Right-Angle Turn (overlapping circles),s10sept,14,goal_reached,True,,1789050345.1453867,1789050349.4858947,4.340507984161377,3.5450226654870405,"[1.33, -0.34, 2.356194490192345]","[1.328393969510198, -0.34035944787904215, 2.319043377829014]","[1.76, 0.22, -0.5235987755982988]",37,222,44,219,36,40,0.0,0.04981996331652618,0.061401530953228534,4.340507984161377,0.7954853186743365,22.439498805434212,0.058145194644427106,0.056032189031272064,0.08935068611069426,0.09601385965151099,0.04939274330682542,0.3579304383027586,0.41027955080410433,0.6550398803179913,0.6743121753802015,0.3662211023166036,0.055563623305318104,0.05246877520304182,0.08368745083166301,0.09516237157912512,0.12409921685978703,0.7407297612288366
